AFFILIATE_COUNTRY_CODE,OTHER_COUNTRY_CODE,AFFILIATE_COUNTRY_NAME,UNRELATED_PARTY_REVENUES,RELATED_PARTY_REVENUES,TOTAL_REVENUES
MMR,LKA,Myanmar,307381.3563304274,43218.06331356392,500419.3178369011
MMR,MMR,Myanmar,265353400.11037558,2807460.633473193,214798659.43867853
MMR,MYS,Myanmar,901157.3586749487,126703.44176903063,1467091.4204928363
MMR,NLD,Myanmar,628551.5905755514,88374.85383509732,1023287.0397090528
MMR,OAFR,Myanmar,416018.7939073753,58492.5734903515,677281.9390863335
MMR,POL,Myanmar,317260.2671121387,44607.046031091166,516502.26396406087
MMR,SAU,Myanmar,335363.9314950069,47152.43565018453,545975.1750377059
MMR,SGP,Myanmar,1270893.3731759964,178688.6196431036,2069024.6228353155
MMR,THA,Myanmar,9329698.38109755,1311763.0169387576,15188823.926178765
MMR,TWN,Myanmar,293837.82908049907,41313.83260431046,478370.34665522334
MMR,USA,Myanmar,4712410.773410097,5451206.576495461,37817573.00828447
MMR,VNM,Myanmar,523966.239751425,73670.07028039946,853021.2482506996
MOZ,ARE,Mozambique,314305.3246750504,1940792.0307369332,1067575.4362127413
MOZ,BRA,Mozambique,215411.01704563995,1330133.3206726357,731669.1523609564
MOZ,BWA,Mozambique,77958.4379265305,481382.6021335635,264795.1111293605
MOZ,CHE,Mozambique,80326.14254428189,496002.8515932943,272837.30161000916
MOZ,CHN,Mozambique,840961.9664867034,5192824.157203381,2856427.3899545353
MOZ,CZE,Mozambique,71747.11585985677,443028.54504018155,243697.61660984307
MOZ,DEU,Mozambique,444998.4140864359,2747803.8326026658,1511490.0663024497
MOZ,ESP,Mozambique,387721.1837578484,2394124.835024962,1316941.1377524224
MOZ,FRA,Mozambique,358516.12528235815,2213787.626913588,1217742.6813666625
MOZ,GBR,Mozambique,192551.66902729706,1188979.999430911,654024.6566545861
MOZ,IND,Mozambique,1467031.2176105683,9058715.435141025,4982946.1008893745
MOZ,ITA,Mozambique,651693.7899358413,4024119.2709537004,2213555.506217352
MOZ,JPN,Mozambique,304850.6982190065,1882411.016357188,1035461.6723957428
MOZ,KOR,Mozambique,237743.1532814086,1468031.1818702503,807522.9105119255
MOZ,MOZ,Mozambique,94176170.22428681,39098236.461326726,246438544.68050006
MOZ,MWI,Mozambique,56383.526828728915,348160.50172606454,191513.35826596405
MOZ,NLD,Mozambique,281557.46006326575,1738578.483359354,956343.417206679
MOZ,POL,Mozambique,158027.3259030084,975796.9422513337,536758.6169876591
MOZ,PRT,Mozambique,117719.52797009217,726901.8492851652,399848.384857494
MOZ,SVK,Mozambique,75838.8517960192,468294.450111927,257595.68461563368
MOZ,SVN,Mozambique,94954.13181664814,586328.6678513074,322523.00784011214
MOZ,TUR,Mozambique,216484.63774919265,1336762.7804428244,735315.8328367241
MOZ,USA,Mozambique,378711.6112190213,94214467.70327552,13618936.258880248
MOZ,VNM,Mozambique,158465.79460774368,978504.4260292734,538247.9281191436
MOZ,ZAF,Mozambique,1293500.4879397517,7987187.112859885,4393528.328167362
MOZ,ZMB,Mozambique,257401.12968144403,1589416.4749035377,874293.5665675449
MOZ,ZWE,Mozambique,163656.0343994387,1010553.4409027877,555877.1951873875
MUS,ARE,Mauritius,5439967.643996802,1295554.9448877815,7048743.710192414
MUS,AUS,Mauritius,5636318.359471399,1342316.8297026826,7303161.743766688
MUS,BEL,Mauritius,7856073.857310049,1870962.4761230738,10179371.425054347
MUS,CAN,Mauritius,4316874.983802669,1028084.9258174734,5593515.877496995
MUS,CHE,Mauritius,15257163.136080755,3633568.1458918275,19769204.474866174
MUS,CHN,Mauritius,11167696.017989295,2659641.517367474,14470348.394629013
MUS,DEU,Mauritius,20075705.377803013,4781127.58685706,26012746.999630533
MUS,DNK,Mauritius,3745569.2312062224,892025.6620025587,4853256.358737749
MUS,ESP,Mauritius,16121422.554631175,3839395.760437377,20889053.624558177
MUS,FRA,Mauritius,59912537.24728001,14268464.25771363,77630630.86403936
MUS,GBR,Mauritius,56431188.69313491,13439364.0443736,73119733.86429387
MUS,GRC,Mauritius,2640983.7379043736,628963.215394492,3422008.8665080387
MUS,HKG,Mauritius,2643269.531623929,629507.5883669362,3424970.644069582
MUS,IND,Mauritius,8082809.735152217,1924960.7362131046,10473160.505689524
MUS,ITA,Mauritius,20749469.763948888,4941587.876197906,26885765.515510548
MUS,JPN,Mauritius,5697993.908789202,1357005.1639220095,7383076.76693898
MUS,KEN,Mauritius,6716049.39452388,1599460.0653163588,8702204.502858179
MUS,KOR,Mauritius,2700247.523499448,643077.1762679903,3498798.888672317
MUS,LUX,Mauritius,2565910.7169110365,611084.2076612541,3324734.301811705
MUS,MOZ,Mauritius,3350137.341297399,797851.6201949676,4340882.346756225
MUS,MUS,Mauritius,4059154532.1361074,64995604.39526562,4052021720.262141
MUS,MYS,Mauritius,3637077.565973122,866187.8404252627,4712680.165464979
MUS,NLD,Mauritius,8814909.765232459,2099313.944943974,11421766.420276983
MUS,OAFR,Mauritius,15647757.304740947,3726590.060683999,20275310.09345742
MUS,OASIAOCN,Mauritius,2520305.0662727114,600222.9985390806,3265641.571096501
MUS,PRT,Mauritius,2990597.513683605,712225.4488586029,3875014.8518910515
MUS,SAU,Mauritius,7640437.016067911,1819607.5059736597,9899963.728563977
MUS,SGP,Mauritius,11511073.908981152,2741418.644319793,14915274.340469696
MUS,THA,Mauritius,2973450.290557974,708141.7536667719,3852796.634970692
MUS,USA,Mauritius,16323120.269078655,156618989.12524083,223926925.06520453
MUS,VNM,Mauritius,6860113.243998178,1633769.576839274,8888872.736807818
MUS,ZAF,Mauritius,18353982.858936768,4371090.934248778,23781854.911706522
MUS,ZMB,Mauritius,17007266.903654933,4050363.931919998,22036871.073487546
MUS,ZWE,Mauritius,8153861.400357628,1941882.0383647752,10565224.468380187
MWI,ARE,Malawi,83710.177781452,1686886.646143125,698367.746242794
MWI,BEL,Malawi,133414.82681230665,2688510.474016032,1113038.0365400193
MWI,CHE,Malawi,28201.243565926106,568297.6961318945,235274.12594677077
MWI,CHN,Malawi,179787.69374182163,3622993.8551289053,1499912.3142286052
MWI,CZE,Malawi,58859.2254326927,1186102.3834396508,491044.04865012754
MWI,DEU,Malawi,602002.7317679074,12131265.230522247,5022319.891786357
MWI,DNK,Malawi,56844.20372542703,1145496.649468457,474233.35482974915
MWI,EGY,Malawi,42908.46895549496,864670.5240125437,357971.8924670301
MWI,ESP,Malawi,48194.771312447214,971197.5090190616,402073.8542693465
MWI,GBR,Malawi,394217.2131239641,7944072.872891688,3288830.509693401
MWI,GRC,Malawi,34307.53658055338,691348.7326582336,286217.01250540203
MWI,IDN,Malawi,69894.6992947273,1408483.8666128041,583109.5443162709
MWI,IND,Malawi,122482.75983395294,2468212.795892916,1021835.2320569091
MWI,ITA,Malawi,66033.4929171279,1330674.7202342106,550896.7110961283
MWI,JPN,Malawi,94796.3158708652,1910289.0900986732,790855.9176602887
MWI,KOR,Malawi,158518.49493031137,3194387.3415581067,1322470.0624971136
MWI,MOZ,Malawi,93067.67341878518,1875454.331104576,776434.3961044447
MWI,MWI,Malawi,43014905.18532213,58279455.78089733,276468499.29997873
MWI,NLD,Malawi,80426.35593199808,1620712.6709710856,670971.850966436
MWI,OAFR,Malawi,57431.667624906026,1157334.9352466753,479134.38180581486
MWI,PHL,Malawi,44864.56821172187,904088.8815087429,374291.0147673662
MWI,POL,Malawi,175010.15244542237,3526719.1747031407,1460054.7863129557
MWI,PRT,Malawi,59572.42419259036,1200474.4167574893,496994.04211296845
MWI,RUS,Malawi,335287.396778824,6756547.975837774,2797197.5432110857
MWI,TUR,Malawi,89985.24225151606,1813338.6826669765,750718.640096204
MWI,TZA,Malawi,88094.37640405475,1775234.8769856875,734943.7396559421
MWI,UKR,Malawi,142933.54194367208,2880326.975534664,1192449.690052142
MWI,USA,Malawi,172976.2848751492,140435180.7495183,15278482.00222154
MWI,ZAF,Malawi,305757.7848941801,6161481.649685107,2550841.2572031417
MWI,ZMB,Malawi,79507.42802177409,1602194.8842262991,663305.5237571186
MWI,ZWE,Malawi,165303.06203629682,3331106.6265275935,1379071.5769677937
MYS,ARE,Malaysia,51858198.47273217,97496790.40817462,142644676.69837344
MYS,AUS,Malaysia,212483540.75308308,399482894.6648272,584471633.5525321
MYS,BGD,Malaysia,37848590.11409585,71157814.31434092,104108898.09743932
MYS,BRA,Malaysia,38690973.26666604,72741549.50160734,106426014.31036972
MYS,CAN,Malaysia,52518475.01231591,98738153.30328327,144460878.11481807
MYS,CHE,Malaysia,37489073.445309,70481899.5633997,103119987.17308967
MYS,CHN,Malaysia,1294372092.6866198,2433503830.5893736,3560387636.407462
MYS,DEU,Malaysia,242873463.94644716,456617929.4204579,668064216.7211357
MYS,FRA,Malaysia,58991323.12905458,110907529.30876581,162265533.00300047
MYS,GBR,Malaysia,75223398.64637448,141424888.3997096,206914580.45360103
MYS,HKG,Malaysia,349648269.1626147,657361516.9654089,961766235.2669716
MYS,IDN,Malaysia,237738546.80710933,446963950.78561175,653939765.4909426
MYS,IND,Malaysia,225595836.42889306,424134864.47721213,620539203.050398
MYS,JPN,Malaysia,457997122.6233968,861064417.7205602,1259797937.6347156
MYS,KOR,Malaysia,212233037.32603705,399011931.90787613,583782581.8419987
MYS,MEX,Malaysia,181960054.4567162,342096752.5772176,500511662.6572474
MYS,MYS,Malaysia,15743340217.92074,3632102297.26047,21989385662.089752
MYS,NLD,Malaysia,177790869.02958864,334258412.45487016,489043618.55114746
MYS,OASIAOCN,Malaysia,43179741.19866937,81180725.54601973,118773123.7220343
MYS,PHL,Malaysia,96692568.3447393,181788325.61821678,265969134.23290473
MYS,RUS,Malaysia,40346287.67842106,75853648.39851311,110979234.36145015
MYS,SAU,Malaysia,37535424.04946752,70569041.71781355,103247482.28745317
MYS,SGP,Malaysia,1026632407.8990374,1930135786.5681102,2823924706.714082
MYS,THA,Malaysia,283665660.1705235,533309914.9247196,780269997.3608081
MYS,TUR,Malaysia,71445708.00677763,134322583.97412565,196523408.4533799
MYS,TWN,Malaysia,173202962.71322367,325632849.7914433,476423812.3778878
MYS,USA,Malaysia,818769406.0659263,11310188623.205128,10272861823.076778
MYS,VNM,Malaysia,138729845.64542085,260821144.63274384,381599719.2982264
NAM,AGO,Namibia,62209.04872733254,10798.720857566006,79184.8740213396
NAM,ARE,Namibia,325962.7708515855,56583.10236848975,414912.64492184663
