PARENT_COUNTRY_CODE,AFFILIATE_COUNTRY_CODE,OTHER_COUNTRY_CODE,UNRELATED_PARTY_REVENUES,RELATED_PARTY_REVENUES,TOTAL_REVENUES
USA,RUS,USA,160971423.42115426,1184139985.290805,1084993489.4211674
USA,RUS,UZB,11840858.99950501,53893950.70251143,54207791.24293878
USA,SAU,ARE,73450909.34666422,34664786.61674532,102701700.8524687
USA,SAU,BEL,12786930.268358747,6034727.318947597,17879145.390076756
USA,SAU,BHR,49761640.234032,23484755.406779837,69578513.52286659
USA,SAU,BRA,19495363.349376444,9200738.514107225,27259117.586524095
USA,SAU,CAN,22294361.463904787,10521711.572764177,31172777.330179386
USA,SAU,CHN,313841103.63702923,148115727.7140716,438823908.7526372
USA,SAU,DEU,18503697.382768024,8732726.757229902,25872534.597231023
USA,SAU,EGY,40223577.863975406,18983314.924474414,56242051.97385477
USA,SAU,ESP,42118677.08283427,19877697.453208715,58891847.800648436
USA,SAU,FRA,51415168.092451386,24265129.54900351,71890535.59280607
USA,SAU,GBR,22822256.47531253,10770848.963836176,31910899.10464549
USA,SAU,IDN,31254267.61933869,14750294.142358802,43700840.08429091
USA,SAU,IND,205341405.143898,96909841.6372315,287115731.4633294
USA,SAU,ITA,39927850.683266744,18843747.971427523,55828555.60305097
USA,SAU,JOR,26540129.602346506,12525480.455306165,37109362.90987837
USA,SAU,JPN,268626690.29139555,126777013.12811127,375603491.2663555
USA,SAU,KOR,188243840.44493917,88840732.11595742,263209302.11293563
USA,SAU,KWT,20305389.52362905,9583026.286092727,28391725.29105402
USA,SAU,MYS,29910407.095258538,14116065.938456768,41821806.00889059
USA,SAU,NLD,16172488.86098655,7632524.640122102,22612955.07182655
USA,SAU,PAK,28616214.421823326,13505278.226437459,40012219.30703942
USA,SAU,PHL,12036083.83003558,5680369.125183482,16829284.918903306
USA,SAU,SAU,9166341877.722206,325528221.19572014,9932370372.213377
USA,SAU,SGP,90714074.58133878,42812050.4765465,126839678.82263257
USA,SAU,THA,58539452.09552743,27627399.49175051,81851965.49176992
